k,BIC,AIC,entropy,avg_posterior,log_likelihood,converged
2,5996.288210371462,5825.439618399267,1.0000000001442695,1.0,-2883.7198091996333,True
3,633.0222280579452,373.8036747208221,0.9953726546315552,0.9992256196561986,-142.90183736041104,True
4,-2456.006918982146,-2803.5954336841974,0.9950121943180503,0.9987512164762737,1460.7977168420987,True
5,-4725.725924700865,-5161.684400767845,0.9956960201378557,0.9987501666746363,2654.8422003839223,True
6,-5528.400730255048,-6052.729167686956,0.9764423861136237,0.9832427571254077,3115.364583843478,True
