feature,rf_importance
UniqueGazeProportion,0.18551186222471153
OffScreenGazeProportion,0.15686213954061562
OffscreenGazes,0.14653821546637671
AOIGazeProportion,0.13693394738089887
AOIGazes,0.12608083080783158
UniqueGazes,0.1249563472216163
Gazes,0.1231166573579494
Fixations,0.0
