,Gazes,Fixations,UniqueGazes,UniqueGazeProportion,OffscreenGazes,OffScreenGazeProportion,AOIGazes,AOIGazeProportion
Profile 0,0.3094459393451172,0.0,-0.09825455865192287,0.06633336903245299,-0.2563285950031182,0.22411725730249601,-0.16640252131223393,-0.03099242865179255
Profile 1,-0.5053815655013244,0.0,0.20055838964010275,-0.06694342680987704,0.16882811252392357,-0.21921569699257723,0.317742666020785,-0.28171217650260943
Profile 2,0.1479910369781568,0.0,0.160436105812974,-0.18766638307362168,-0.1435860625242148,0.38042661418539153,-0.25928891496224765,0.3103984472880295
Profile 3,-0.31115962641231054,0.0,-0.010395404402491997,0.07702490382031996,0.06386782958556829,-0.16724414893425246,0.3142804218130496,-0.2088518214438896
Profile 4,0.3591042155903672,0.0,-0.2523445323986658,0.11125153703073141,0.16721871541783812,-0.2180840255610557,-0.20633165155935562,0.21115797931026672
