dimension,slice,n,n_profiles,auroc,accuracy
Lighting,well_lit,2142,5,0.6026421877017246,0.35527544351073764
Lighting,dim_lit,518,5,0.5648863730248271,0.3667953667953668
ExpSetting,home,2373,5,0.5721126287810802,0.3640960809102402
EyeTrackerType,webcam,2674,5,0.5885354768143883,0.3605086013462977
TaskType,listening,2674,5,0.5885354768143883,0.3605086013462977
