feature,rf_importance
Gazes,0.15382041691046272
UniqueGazeProportion,0.15140468009323713
UniqueGazes,0.15051040583666608
AOIGazeProportion,0.1386135633654343
AOIGazes,0.13688216540893738
OffscreenGazes,0.13441910494472972
OffScreenGazeProportion,0.13434966344053262
Fixations,0.0
