,Gazes,Fixations,UniqueGazes,UniqueGazeProportion,OffscreenGazes,OffScreenGazeProportion,AOIGazes,AOIGazeProportion
Profile 0,0.04620222630027951,0.0,-0.08789567315066556,0.07089271583649508,0.1421596171329172,-0.08838431655429546,0.09884823852163446,-0.1010041164546962
Profile 1,-0.22663470239476766,0.0,0.13750344472489454,-0.17218619045685749,-0.26893460771835676,0.2046818467207905,-0.09571963701642529,0.13195099248241476
Profile 2,-0.13074434989881303,0.0,0.05078950889109157,-0.01357023434431928,0.1286308319941469,-0.12981945453501972,0.1553015110308339,-0.09450053029163172
Profile 3,0.1720967135369498,0.0,-0.021687173122704264,0.07394535571014291,-0.04585492187984168,-0.07085088033360447,-0.05421836788599547,0.016909594607735324
Profile 4,0.13908011245635035,0.0,-0.07871010734261824,0.04091835325453825,0.043999080471131526,0.08437280470212853,-0.1042117446500478,0.04664405965617593
