k,BIC,AIC,entropy,avg_posterior,log_likelihood,converged
2,13348.727483546025,13145.499632768635,1.0000000001442695,1.0,-6543.7498163843175,True
3,-46460.65234067476,-46768.99804530252,1.0000000000910239,1.0,23428.49902265126,True
4,-59407.43709311687,-59820.900651595,1.0000000000721347,1.0,29969.4503257975,True
5,-72050.41761903929,-72568.9990313678,0.9999508626478533,0.9999924712921594,36358.4995156839,True
6,-74237.5611681446,-74861.26043432349,0.9994423224228004,0.9998514756025414,37519.63021716174,True
