profile,n,pct,avg_posterior,TUT_mean,TUT_sd,FMT_mean,FMT_sd,Awareness_mean,Awareness_sd,Disengagement_mean,Disengagement_sd
0,398,14.9,0.9991073623483748,0.0,0.0,0.5904522613065326,0.4464599278868144,1.0,0.0,0.0,0.0
1,812,30.4,1.0,1.0,0.0,0.5880541871921182,0.2798398369900326,0.6873973727422005,0.2919454185610108,0.37110016420361236,0.2979760826169242
2,140,5.2,0.9999798647652524,1.0,0.0,0.8321428571428572,0.3454028501987658,1.0,0.0,1.0,0.0
3,1018,38.1,1.0,0.0,0.0,0.5144073346430911,0.2917523602777577,0.7069417157825802,0.2812736765471429,0.4733136869679109,0.2776745523960769
4,306,11.4,0.9902484784515987,0.0,0.0,0.29302832244008714,0.3422448892569936,0.3545751633986928,0.32307005953283385,0.0,0.0
