profile,n,pct,avg_posterior,TUT_mean,TUT_sd,Disengagement_mean,Disengagement_sd,Valence_mean,Valence_sd,Boredom_mean,Boredom_sd
0,1852,22.7,1.0,1.0,0.0,0.0,0.0,0.5671346292296616,0.2519956186479374,0.6018718502519799,0.33265928591963617
1,825,10.1,0.9999254703552313,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,4031,49.4,1.0,0.0,0.0,0.0,0.0,0.6407012321177541,0.2254512101475943,0.5320846770859174,0.30385145743447783
3,639,7.8,1.0,0.0,0.0,1.0,0.0,0.7423056859676577,0.2526753494495411,0.3951486697965571,0.3485988893125971
4,820,10.0,1.0,1.0,0.0,1.0,0.0,0.5079268292682927,0.30031554889639184,0.6717479674796747,0.34934274610445454
