dimension,n_slices,chi2,p_value,dof,significant,interpretation
Lighting,2,24.721961987964125,5.721797842257555e-05,4,True,Profile distribution differs across slices
ExpSetting,2,537.8301916643699,4.394251949659571e-115,4,True,Profile distribution differs across slices
